"文件","起始行","结束行","符号","类型","作用"
"lib/ai/image-generation.ts","111","153","generateResearchImage","函数","实现 generateResearchImage 的调用与控制流程"
"lib/ai/openai.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/ai/openai.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/ai/openai.ts","5","5","导入@5","导入","引入本文件依赖"
"lib/ai/openai.ts","6","6","导入@6","导入","引入本文件依赖"
"lib/ai/openai.ts","7","7","导入@7","导入","引入本文件依赖"
"lib/ai/openai.ts","8","8","导入@8","导入","引入本文件依赖"
"lib/ai/openai.ts","9","9","导入@9","导入","引入本文件依赖"
"lib/ai/openai.ts","10","10","导入@10","导入","引入本文件依赖"
"lib/ai/openai.ts","15","26","getOpenAIClient","函数","实现 getOpenAIClient 的调用与控制流程"
"lib/ai/openai.ts","28","42","getDeepSeekClient","函数","实现 getDeepSeekClient 的调用与控制流程"
"lib/ai/openai.ts","44","50","ResponsesChatOptions","类型","定义 ResponsesChatOptions 的数据契约"
"lib/ai/openai.ts","52","216","openResponsesChatStream","函数","实现 openResponsesChatStream 的调用与控制流程"
"lib/ai/openai.ts","76","76","函数@76","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","77","83","函数@77","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","81","81","函数@81","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","82","82","函数@82","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","87","87","函数@87","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","88","102","函数@88","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","93","100","函数@93","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","172","175","函数@172","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","218","307","openDeepSeekChatStream","函数","实现 openDeepSeekChatStream 的调用与控制流程"
"lib/ai/openai.ts","309","311","getTextModel","函数","实现 getTextModel 的调用与控制流程"
"lib/ai/openai.ts","313","315","getVisionModel","函数","实现 getVisionModel 的调用与控制流程"
"lib/ai/openai.ts","317","323","getModelForMessages","函数","实现 getModelForMessages 的调用与控制流程"
"lib/ai/openai.ts","325","359","toOpenAIMessages","函数","实现 toOpenAIMessages 的调用与控制流程"
"lib/ai/openai.ts","328","358","函数@328","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","337","337","函数@337","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","338","338","函数@338","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","348","348","函数@348","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","349","349","函数@349","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","361","423","openChatCompletionStream","函数","实现 openChatCompletionStream 的调用与控制流程"
"lib/ai/openai.ts","376","400","函数@376","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","380","398","函数@380","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/openai.ts","425","441","logStreamResponseModel","函数","实现 logStreamResponseModel 的调用与控制流程"
"lib/ai/openai.ts","443","466","openaiProvider","变量","保存或计算 openaiProvider 所需的数据"
"lib/ai/openai.ts","446","465","streamChat","方法","实现 streamChat 的调用与控制流程"
"lib/ai/openai.ts","468","497","toProviderError","函数","实现 toProviderError 的调用与控制流程"
"lib/ai/provider.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/ai/provider.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/ai/provider.ts","5","12","导入@5","导入","引入本文件依赖"
"lib/ai/provider.ts","13","13","导入@13","导入","引入本文件依赖"
"lib/ai/provider.ts","15","15","导出@15","导出","向其他模块公开能力"
"lib/ai/provider.ts","16","16","导出@16","导出","向其他模块公开能力"
"lib/ai/provider.ts","18","41","PROVIDER_REGISTRY","变量","保存或计算 PROVIDER_REGISTRY 所需的数据"
"lib/ai/provider.ts","22","27","函数@22","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/provider.ts","31","39","函数@31","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/provider.ts","43","61","parseProviderName","函数","实现 parseProviderName 的调用与控制流程"
"lib/ai/provider.ts","63","65","getConfiguredProviderName","函数","实现 getConfiguredProviderName 的调用与控制流程"
"lib/ai/provider.ts","67","71","getAIProvider","函数","实现 getAIProvider 的调用与控制流程"
"lib/ai/provider.ts","73","79","streamChatText","函数","实现 streamChatText 的调用与控制流程"
"lib/ai/provider.ts","81","114","createChatStream","函数","实现 createChatStream 的调用与控制流程"
"lib/ai/provider.ts","90","90","函数@90","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/provider.ts","94","97","streamOptions","变量","保存或计算 streamOptions 所需的数据"
"lib/ai/provider.ts","100","109","start","方法","实现 start 的调用与控制流程"
"lib/ai/provider.ts","110","112","cancel","方法","实现 cancel 的调用与控制流程"
"lib/ai/provider.ts","116","158","createConnectedChatStream","函数","实现 createConnectedChatStream 的调用与控制流程"
"lib/ai/provider.ts","125","125","函数@125","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/provider.ts","129","132","streamOptions","变量","保存或计算 streamOptions 所需的数据"
"lib/ai/provider.ts","138","150","start","方法","实现 start 的调用与控制流程"
"lib/ai/provider.ts","151","153","cancel","方法","实现 cancel 的调用与控制流程"
"lib/ai/provider.ts","160","173","normalizeStreamError","函数","实现 normalizeStreamError 的调用与控制流程"
"lib/ai/provider.ts","175","269","validateMessageContent","函数","实现 validateMessageContent 的调用与控制流程"
"lib/ai/provider.ts","241","241","函数@241","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/provider.ts","255","256","函数@255","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/provider.ts","258","258","函数@258","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/provider.ts","271","313","validateChatMessages","函数","实现 validateChatMessages 的调用与控制流程"
"lib/ai/types.ts","1","1","ChatRole","类型","定义 ChatRole 的数据契约"
"lib/ai/types.ts","3","6","TextContentPart","类型","定义 TextContentPart 的数据契约"
"lib/ai/types.ts","8","14","ImageContentPart","类型","定义 ImageContentPart 的数据契约"
"lib/ai/types.ts","16","16","MessageContentPart","类型","定义 MessageContentPart 的数据契约"
"lib/ai/types.ts","18","18","MessageContent","类型","定义 MessageContent 的数据契约"
"lib/ai/types.ts","20","23","ChatMessage","类型","定义 ChatMessage 的数据契约"
"lib/ai/types.ts","25","30","StreamChatOptions","类型","定义 StreamChatOptions 的数据契约"
"lib/ai/types.ts","32","32","AIProviderName","类型","定义 AIProviderName 的数据契约"
"lib/ai/types.ts","34","37","AIProviderAdapter","接口","定义 AIProviderAdapter 的数据契约"
"lib/ai/types.ts","39","44","messageHasImageContent","函数","实现 messageHasImageContent 的调用与控制流程"
"lib/ai/types.ts","42","42","函数@42","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/types.ts","46","48","messagesIncludeImages","函数","实现 messagesIncludeImages 的调用与控制流程"
"lib/ai/types.ts","50","60","getTextFromMessageContent","函数","实现 getTextFromMessageContent 的调用与控制流程"
"lib/ai/types.ts","56","56","函数@56","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/types.ts","57","57","函数@57","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/usage-ledger.ts","1","1","导入@1","导入","引入本文件依赖"
"lib/ai/usage-ledger.ts","2","2","导入@2","导入","引入本文件依赖"
"lib/ai/usage-ledger.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/ai/usage-ledger.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/ai/usage-ledger.ts","5","5","导入@5","导入","引入本文件依赖"
"lib/ai/usage-ledger.ts","7","7","UsageEvent","类型","定义 UsageEvent 的数据契约"
"lib/ai/usage-ledger.ts","9","14","dailyBudgetUsd","函数","实现 dailyBudgetUsd 的调用与控制流程"
"lib/ai/usage-ledger.ts","16","46","assertDailyAiBudgetAvailable","函数","实现 assertDailyAiBudgetAvailable 的调用与控制流程"
"lib/ai/usage-ledger.ts","37","37","函数@37","函数","实现 匿名逻辑 的调用与控制流程"
"lib/ai/usage-ledger.ts","48","78","recordAiUsage","函数","实现 recordAiUsage 的调用与控制流程"
"lib/analysis/classifier.ts","3","7","导入@3","导入","引入本文件依赖"
"lib/analysis/classifier.ts","9","13","AttachmentClassification","类型","定义 AttachmentClassification 的数据契约"
"lib/analysis/classifier.ts","15","31","classifyAttachment","函数","实现 classifyAttachment 的调用与控制流程"
"lib/analysis/classifier.ts","33","51","describeParser","函数","实现 describeParser 的调用与控制流程"
"lib/analysis/classifier.ts","53","69","parseStageForClassification","函数","实现 parseStageForClassification 的调用与控制流程"
"lib/analysis/engine.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/analysis/engine.ts","4","9","导入@4","导入","引入本文件依赖"
"lib/analysis/engine.ts","11","17","DefaultAnalysisEngine","类","封装 DefaultAnalysisEngine 的状态和行为"
"lib/analysis/engine.ts","14","16","analyze","方法","实现 analyze 的调用与控制流程"
"lib/analysis/engine.ts","19","21","createDefaultAnalysisEngine","函数","实现 createDefaultAnalysisEngine 的调用与控制流程"
"lib/analysis/evidence.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/analysis/evidence.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/analysis/evidence.ts","6","6","导入@6","导入","引入本文件依赖"
"lib/analysis/evidence.ts","8","17","structuredDocumentFromParsed","函数","实现 structuredDocumentFromParsed 的调用与控制流程"
"lib/analysis/evidence.ts","19","25","imageEvidenceFromParsed","函数","实现 imageEvidenceFromParsed 的调用与控制流程"
"lib/analysis/evidence.ts","27","32","buildAnalysisEvidence","函数","实现 buildAnalysisEvidence 的调用与控制流程"
"lib/analysis/evidence.ts","34","36","emptyAnalysisEvidence","函数","实现 emptyAnalysisEvidence 的调用与控制流程"
"lib/analysis/prompt-builder.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/analysis/prompt-builder.ts","4","7","导入@4","导入","引入本文件依赖"
"lib/analysis/prompt-builder.ts","9","9","导入@9","导入","引入本文件依赖"
"lib/analysis/prompt-builder.ts","14","32","ANALYSIS_SYSTEM_MESSAGE","变量","保存或计算 ANALYSIS_SYSTEM_MESSAGE 所需的数据"
"lib/analysis/prompt-builder.ts","34","57","withAnalysisGuidance","函数","实现 withAnalysisGuidance 的调用与控制流程"
"lib/analysis/prompt-builder.ts","46","49","函数@46","函数","实现 匿名逻辑 的调用与控制流程"
"lib/analysis/prompt-builder.ts","59","91","buildDefaultUserMessage","函数","实现 buildDefaultUserMessage 的调用与控制流程"
"lib/analysis/prompt-builder.ts","93","113","buildUserMessageWithEvidence","函数","实现 buildUserMessageWithEvidence 的调用与控制流程"
"lib/analysis/prompt-builder.ts","105","110","函数@105","函数","实现 匿名逻辑 的调用与控制流程"
"lib/analysis/prompt-builder.ts","115","151","applyEvidenceToMessages","函数","实现 applyEvidenceToMessages 的调用与控制流程"
"lib/analysis/types.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/analysis/types.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/analysis/types.ts","6","11","StructuredDocument","类型","定义 StructuredDocument 的数据契约"
"lib/analysis/types.ts","13","17","ImageEvidence","类型","定义 ImageEvidence 的数据契约"
"lib/analysis/types.ts","19","22","AnalysisEvidence","类型","定义 AnalysisEvidence 的数据契约"
"lib/analysis/types.ts","24","28","AnalysisInput","类型","定义 AnalysisInput 的数据契约"
"lib/analysis/types.ts","30","34","AnalysisResult","类型","定义 AnalysisResult 的数据契约"
"lib/analysis/types.ts","36","43","AttachmentProcessingResult","类型","定义 AttachmentProcessingResult 的数据契约"
"lib/analysis/types.ts","45","47","AnalysisWorkflow","接口","定义 AnalysisWorkflow 的数据契约"
"lib/analysis/types.ts","49","51","AnalysisEngine","接口","定义 AnalysisEngine 的数据契约"
"lib/analysis/workflow.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/analysis/workflow.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/analysis/workflow.ts","5","5","导入@5","导入","引入本文件依赖"
"lib/analysis/workflow.ts","7","11","导入@7","导入","引入本文件依赖"
"lib/analysis/workflow.ts","12","16","导入@12","导入","引入本文件依赖"
"lib/analysis/workflow.ts","17","17","导入@17","导入","引入本文件依赖"
"lib/analysis/workflow.ts","18","25","导入@18","导入","引入本文件依赖"
"lib/analysis/workflow.ts","27","51","toAttachmentParseError","函数","实现 toAttachmentParseError 的调用与控制流程"
"lib/analysis/workflow.ts","53","107","parseAttachmentFile","函数","实现 parseAttachmentFile 的调用与控制流程"
"lib/analysis/workflow.ts","109","184","DefaultAnalysisWorkflow","类","封装 DefaultAnalysisWorkflow 的状态和行为"
"lib/analysis/workflow.ts","110","183","run","方法","实现 run 的调用与控制流程"
"lib/analysis/workflow.ts","164","164","函数@164","函数","实现 匿名逻辑 的调用与控制流程"
"lib/analysis/workflow.ts","173","174","函数@173","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/client.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/chat/client.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/chat/client.ts","5","5","导入@5","导入","引入本文件依赖"
"lib/chat/client.ts","6","6","导入@6","导入","引入本文件依赖"
"lib/chat/client.ts","7","7","导入@7","导入","引入本文件依赖"
"lib/chat/client.ts","8","8","导入@8","导入","引入本文件依赖"
"lib/chat/client.ts","10","30","ChatProjectContext","类型","定义 ChatProjectContext 的数据契约"
"lib/chat/client.ts","32","40","ChatClientError","类","封装 ChatClientError 的状态和行为"
"lib/chat/client.ts","42","48","isAbortError","函数","实现 isAbortError 的调用与控制流程"
"lib/chat/client.ts","50","57","AttachmentErrorPayload","类型","定义 AttachmentErrorPayload 的数据契约"
"lib/chat/client.ts","59","66","AttachmentPreparationResult","类型","定义 AttachmentPreparationResult 的数据契约"
"lib/chat/client.ts","68","103","parseApiError","函数","实现 parseApiError 的调用与控制流程"
"lib/chat/client.ts","105","170","prepareMessagesWithAttachments","函数","实现 prepareMessagesWithAttachments 的调用与控制流程"
"lib/chat/client.ts","172","296","streamChatResponse","函数","实现 streamChatResponse 的调用与控制流程"
"lib/chat/cloud-sync.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/chat/cloud-sync.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/chat/cloud-sync.ts","5","11","导入@5","导入","引入本文件依赖"
"lib/chat/cloud-sync.ts","12","12","导入@12","导入","引入本文件依赖"
"lib/chat/cloud-sync.ts","13","13","导入@13","导入","引入本文件依赖"
"lib/chat/cloud-sync.ts","15","27","getAuthenticatedUserId","函数","实现 getAuthenticatedUserId 的调用与控制流程"
"lib/chat/cloud-sync.ts","29","76","fetchCloudConversations","函数","实现 fetchCloudConversations 的调用与控制流程"
"lib/chat/cloud-sync.ts","47","47","函数@47","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/cloud-sync.ts","71","72","函数@71","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/cloud-sync.ts","78","100","createCloudChat","函数","实现 createCloudChat 的调用与控制流程"
"lib/chat/cloud-sync.ts","102","117","migrateLocalConversationsToCloud","函数","实现 migrateLocalConversationsToCloud 的调用与控制流程"
"lib/chat/cloud-sync.ts","119","160","syncCloudMessages","函数","实现 syncCloudMessages 的调用与控制流程"
"lib/chat/cloud-sync.ts","162","175","deleteCloudChat","函数","实现 deleteCloudChat 的调用与控制流程"
"lib/chat/cloud-sync.ts","177","204","fetchCloudChatMessages","函数","实现 fetchCloudChatMessages 的调用与控制流程"
"lib/chat/cloud-sync.ts","195","202","函数@195","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/cloud-types.ts","1","1","导入@1","导入","引入本文件依赖"
"lib/chat/cloud-types.ts","2","2","导入@2","导入","引入本文件依赖"
"lib/chat/cloud-types.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/chat/cloud-types.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/chat/cloud-types.ts","5","5","导入@5","导入","引入本文件依赖"
"lib/chat/cloud-types.ts","6","6","导入@6","导入","引入本文件依赖"
"lib/chat/cloud-types.ts","8","14","ChatRow","类型","定义 ChatRow 的数据契约"
"lib/chat/cloud-types.ts","16","25","MessageRow","类型","定义 MessageRow 的数据契约"
"lib/chat/cloud-types.ts","27","34","MessageRowInsert","类型","定义 MessageRowInsert 的数据契约"
"lib/chat/cloud-types.ts","36","64","parseAttachments","函数","实现 parseAttachments 的调用与控制流程"
"lib/chat/cloud-types.ts","41","61","函数@41","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/cloud-types.ts","66","72","messageRowToDisplay","函数","实现 messageRowToDisplay 的调用与控制流程"
"lib/chat/cloud-types.ts","74","89","chatRowsToConversation","函数","实现 chatRowsToConversation 的调用与控制流程"
"lib/chat/cloud-types.ts","79","79","函数@79","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/cloud-types.ts","91","104","messagesToRows","函数","实现 messagesToRows 的调用与控制流程"
"lib/chat/cloud-types.ts","96","103","函数@96","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/cloud-types.ts","106","131","mapMessageRow","函数","实现 mapMessageRow 的调用与控制流程"
"lib/chat/cloud-types.ts","133","141","CloudSyncError","类","封装 CloudSyncError 的状态和行为"
"lib/chat/context-budget.ts","1","1","导入@1","导入","引入本文件依赖"
"lib/chat/context-budget.ts","2","2","导入@2","导入","引入本文件依赖"
"lib/chat/context-budget.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/chat/context-budget.ts","5","10","TOTAL_CHARACTER_BUDGET","变量","保存或计算 TOTAL_CHARACTER_BUDGET 所需的数据"
"lib/chat/context-budget.ts","12","17","MESSAGE_CHARACTER_BUDGET","变量","保存或计算 MESSAGE_CHARACTER_BUDGET 所需的数据"
"lib/chat/context-budget.ts","19","38","truncateContent","函数","实现 truncateContent 的调用与控制流程"
"lib/chat/context-budget.ts","40","74","applyChatContextBudget","函数","实现 applyChatContextBudget 的调用与控制流程"
"lib/chat/context-budget.ts","44","44","函数@44","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-budget.ts","45","45","函数@45","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-budget.ts","76","90","insertContextBeforeLastUser","函数","实现 insertContextBeforeLastUser 的调用与控制流程"
"lib/chat/context-budget.ts","81","81","函数@81","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-bundle.ts","1","1","导入@1","导入","引入本文件依赖"
"lib/chat/context-bundle.ts","2","2","导入@2","导入","引入本文件依赖"
"lib/chat/context-bundle.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/chat/context-bundle.ts","5","39","ContextBundle","类型","定义 ContextBundle 的数据契约"
"lib/chat/context-bundle.ts","48","52","compact","函数","实现 compact 的调用与控制流程"
"lib/chat/context-bundle.ts","54","62","stripGeneratedFileFooter","函数","实现 stripGeneratedFileFooter 的调用与控制流程"
"lib/chat/context-bundle.ts","64","67","lastUserText","函数","实现 lastUserText 的调用与控制流程"
"lib/chat/context-bundle.ts","65","65","函数@65","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-bundle.ts","69","85","previousAssistantTextBeforeLastUser","函数","实现 previousAssistantTextBeforeLastUser 的调用与控制流程"
"lib/chat/context-bundle.ts","71","71","函数@71","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-bundle.ts","87","102","recentConversationSummary","函数","实现 recentConversationSummary 的调用与控制流程"
"lib/chat/context-bundle.ts","89","89","函数@89","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-bundle.ts","91","98","函数@91","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-bundle.ts","104","151","activeFilesSummary","函数","实现 activeFilesSummary 的调用与控制流程"
"lib/chat/context-bundle.ts","119","142","函数@119","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-bundle.ts","120","121","函数@120","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-bundle.ts","125","134","函数@125","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-bundle.ts","153","167","buildMemorySummary","函数","实现 buildMemorySummary 的调用与控制流程"
"lib/chat/context-bundle.ts","169","171","hasAny","函数","实现 hasAny 的调用与控制流程"
"lib/chat/context-bundle.ts","170","170","函数@170","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/context-bundle.ts","173","180","isArtifactFollowUp","函数","实现 isArtifactFollowUp 的调用与控制流程"
"lib/chat/context-bundle.ts","182","189","isRevisionFollowUp","函数","实现 isRevisionFollowUp 的调用与控制流程"
"lib/chat/context-bundle.ts","191","196","isCritiqueFollowUp","函数","实现 isCritiqueFollowUp 的调用与控制流程"
"lib/chat/context-bundle.ts","198","203","isFileAnalysisRequest","函数","实现 isFileAnalysisRequest 的调用与控制流程"
"lib/chat/context-bundle.ts","205","210","selectedLocalFileCount","函数","实现 selectedLocalFileCount 的调用与控制流程"
"lib/chat/context-bundle.ts","212","329","buildContextBundle","函数","实现 buildContextBundle 的调用与控制流程"
"lib/chat/context-bundle.ts","331","381","contextBundleToSystemMessage","函数","实现 contextBundleToSystemMessage 的调用与控制流程"
"lib/chat/export-guidance.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/chat/export-guidance.ts","5","15","EXPORT_GUIDANCE_SYSTEM_MESSAGE","变量","保存或计算 EXPORT_GUIDANCE_SYSTEM_MESSAGE 所需的数据"
"lib/chat/export-guidance.ts","17","30","withExportGuidance","函数","实现 withExportGuidance 的调用与控制流程"
"lib/chat/export-guidance.ts","19","22","函数@19","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/history.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/chat/history.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/chat/history.ts","6","12","ChatConversation","类型","定义 ChatConversation 的数据契约"
"lib/chat/history.ts","14","17","ChatHistoryStorage","类型","定义 ChatHistoryStorage 的数据契约"
"lib/chat/history.ts","23","29","getChatHistoryStorageKey","函数","实现 getChatHistoryStorageKey 的调用与控制流程"
"lib/chat/history.ts","31","46","readStorageKey","函数","实现 readStorageKey 的调用与控制流程"
"lib/chat/history.ts","50","56","createConversationId","函数","实现 createConversationId 的调用与控制流程"
"lib/chat/history.ts","58","73","generateChatTitle","函数","实现 generateChatTitle 的调用与控制流程"
"lib/chat/history.ts","75","83","truncateTitle","函数","实现 truncateTitle 的调用与控制流程"
"lib/chat/history.ts","85","98","createConversation","函数","实现 createConversation 的调用与控制流程"
"lib/chat/history.ts","89","89","函数@89","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/history.ts","100","107","sortConversationsByUpdated","函数","实现 sortConversationsByUpdated 的调用与控制流程"
"lib/chat/history.ts","104","105","函数@104","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/history.ts","109","127","isDisplayChatMessage","函数","实现 isDisplayChatMessage 的调用与控制流程"
"lib/chat/history.ts","129","134","normalizeStoredConversation","函数","实现 normalizeStoredConversation 的调用与控制流程"
"lib/chat/history.ts","136","149","isChatConversation","函数","实现 isChatConversation 的调用与控制流程"
"lib/chat/history.ts","151","183","parseChatHistoryStorage","函数","实现 parseChatHistoryStorage 的调用与控制流程"
"lib/chat/history.ts","161","168","函数@161","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/history.ts","164","166","函数@164","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/history.ts","174","174","函数@174","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/history.ts","185","200","loadChatHistory","函数","实现 loadChatHistory 的调用与控制流程"
"lib/chat/history.ts","202","221","saveChatHistory","函数","实现 saveChatHistory 的调用与控制流程"
"lib/chat/history.ts","223","229","clearChatHistoryCache","函数","实现 clearChatHistoryCache 的调用与控制流程"
"lib/chat/history.ts","231","246","upsertConversation","函数","实现 upsertConversation 的调用与控制流程"
"lib/chat/history.ts","236","236","函数@236","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/history.ts","248","253","removeConversation","函数","实现 removeConversation 的调用与控制流程"
"lib/chat/history.ts","252","252","函数@252","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/intent-router.ts","3","3","导入@3","导入","引入本文件依赖"
"lib/chat/intent-router.ts","4","4","导入@4","导入","引入本文件依赖"
"lib/chat/intent-router.ts","5","5","导入@5","导入","引入本文件依赖"
"lib/chat/intent-router.ts","6","6","导入@6","导入","引入本文件依赖"
"lib/chat/intent-router.ts","7","7","导入@7","导入","引入本文件依赖"
"lib/chat/intent-router.ts","8","8","导入@8","导入","引入本文件依赖"
"lib/chat/intent-router.ts","9","12","导入@9","导入","引入本文件依赖"
"lib/chat/intent-router.ts","13","13","导入@13","导入","引入本文件依赖"
"lib/chat/intent-router.ts","21","35","IntentKind","类型","定义 IntentKind 的数据契约"
"lib/chat/intent-router.ts","37","50","ToolName","类型","定义 ToolName 的数据契约"
"lib/chat/intent-router.ts","52","60","InputScope","类型","定义 InputScope 的数据契约"
"lib/chat/intent-router.ts","62","87","IntentRoute","类型","定义 IntentRoute 的数据契约"
"lib/chat/intent-router.ts","89","101","IntentPlan","类型","定义 IntentPlan 的数据契约"
"lib/chat/intent-router.ts","103","111","IntentRouterInput","类型","定义 IntentRouterInput 的数据契约"
"lib/chat/intent-router.ts","113","116","lastUserText","函数","实现 lastUserText 的调用与控制流程"
"lib/chat/intent-router.ts","114","114","函数@114","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/intent-router.ts","118","122","compact","函数","实现 compact 的调用与控制流程"
"lib/chat/intent-router.ts","124","127","clampConfidence","函数","实现 clampConfidence 的调用与控制流程"
"lib/chat/intent-router.ts","129","146","isIntentKind","函数","实现 isIntentKind 的调用与控制流程"
"lib/chat/intent-router.ts","148","156","normalizeTools","函数","实现 normalizeTools 的调用与控制流程"
"lib/chat/intent-router.ts","151","151","函数@151","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/intent-router.ts","158","174","normalizeScope","函数","实现 normalizeScope 的调用与控制流程"
"lib/chat/intent-router.ts","176","208","normalizeOutputType","函数","实现 normalizeOutputType 的调用与控制流程"
"lib/chat/intent-router.ts","210","217","estimateTokensFromText","函数","实现 estimateTokensFromText 的调用与控制流程"
"lib/chat/intent-router.ts","219","248","expectedOutputTokensForIntent","函数","实现 expectedOutputTokensForIntent 的调用与控制流程"
"lib/chat/intent-router.ts","250","313","buildTokenEstimate","函数","实现 buildTokenEstimate 的调用与控制流程"
"lib/chat/intent-router.ts","256","256","函数@256","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/intent-router.ts","259","263","函数@259","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/intent-router.ts","275","276","函数@275","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/intent-router.ts","288","288","函数@288","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/intent-router.ts","315","325","extractJsonObject","函数","实现 extractJsonObject 的调用与控制流程"
"lib/chat/intent-router.ts","327","365","createLocalPlan","函数","实现 createLocalPlan 的调用与控制流程"
"lib/chat/intent-router.ts","367","369","textIncludesAny","函数","实现 textIncludesAny 的调用与控制流程"
"lib/chat/intent-router.ts","368","368","函数@368","函数","实现 匿名逻辑 的调用与控制流程"
"lib/chat/intent-router.ts","371","412","isQuestionAboutExistingOutput","函数","实现 isQuestionAboutExistingOutput 的调用与控制流程"
"lib/chat/intent-router.ts","414","420","hasReusablePreviousOutput","函数","实现 hasReusablePreviousOutput 的调用与控制流程"
"lib/chat/intent-router.ts","422","442","queryUsesPreviousOutputAsSource","函数","实现 queryUsesPreviousOutputAsSource 的调用与控制流程"
